,Unnamed: 0,Title,Ratings,Ranked,Popularity,Actor 1,Name,Info,Info1,Info2,Info3,Info4,Info5,Info6,Image
63,63,A Tale of Two Sisters,6.6, #41894, #5864,Yoo Geon,Yoo Geon, Jo, 유건, Yoo Gun;Yu Geon;Yu Kon;조정익;Jo Jeong Ik, South Korean, Male," January 21, 1983", 38,https://i.mydramalist.com/rNn4gc.jpg
64,64,A Thousand Days' Promise,7.6, #2593, #1622,Park Soo Ae,Park Soo Ae, Park, 박수애, Park Su Ae, South Korean, Female," September 16, 1979", 41,https://i.mydramalist.com/vg4ye_5c.jpg
65,65,A Thousand Days' Promise,7.6, #2593, #1622,Kim Rae Won,Kim Rae Won, Kim, 김래원, South Korean, Male," March 19, 1981", 39,,https://i.mydramalist.com/vEpkg_5c.jpg
66,66,A Thousand Kisses,6.8, #4454, #1626,Ji Hyun Woo,Ji Hyun Woo, Ju, 지현우, Ji Hyeon Wu;Ju Hyeong Tae;주형태;Ji Hyeon U, South Korean, Male," November 29, 1984", 36,https://i.mydramalist.com/vnPQZc.jpg
67,67,A Thousand Kisses,6.8, #4454, #1626,Seo Young Hee,Seo Young Hee, Seo, 서영희, Seo Yeong Hee, South Korean, Female," June 13, 1980", 40,https://i.mydramalist.com/Ldv3xc.jpg
68,68,A Ticket to India,7.7, #99999, Not Yet Rated,Shawn Jang,Shawn Jang, Jang, 장영준, South Korean, Male,,,,https://i.mydramalist.com/qPb2D_5c.jpg
69,69,A Ticket to India,7.7, #99999, Not Yet Rated,Lim Young Ju,Lim Young Ju, Lim, 임영주, Im Young Ju;Im Young Joo;Lim Young Joo, South Korean, Female,,,https://i.mydramalist.com/pzL68_5c.jpg
70,70,A Touch On Your Cheek,7.3, #99999, Not Yet Rated,Kim Ji Sung,Kim Ji Sung, Kim, 김지성, Kim Ji Seong, South Korean, Female," October 30, 1996", 24,https://i.mydramalist.com/QYyV7_5c.jpg
71,71,A Touch On Your Cheek,7.3, #99999, Not Yet Rated,Min Sung,Min Sung, Kim, 민성, 김민휘, South Korean, Male," December 24, 1996", 24,https://i.mydramalist.com/gW0wOc.jpg
72,72,A Wife’s Credentials,7.9, #28187, #4032,Lee Sung Jae,Lee Sung Jae, Lee, 이성재, Yi Seong Jae; Lee Seong Jae, South Korean, Male," August 23, 1970", 50,https://i.mydramalist.com/ej27Q_5c.jpg
73,73,A Wife’s Credentials,7.9, #28187, #4032,Lee Tae Ran,Lee Tae Ran, Lee, 이태란, South Korean, Female," March 25, 1975", 45,,https://i.mydramalist.com/kxV6k_5c.jpg
74,74,A-Teen,8.2, #529, #488,Shin Ye Eun,Shin Ye Eun, Shin, 신예은, Sin Ye Eun;신예은, South Korean, Female," January 18, 1998", 23,https://i.mydramalist.com/25K5V_5c.jpg
75,75,A-Teen,8.2, #529, #488,Lee Na Eun,Lee Na Eun, Lee, 이나은, Naeun, South Korean, Female," May  5, 1999", 21,https://i.mydramalist.com/jZ8xy_5c.jpg
76,76,A-Teen 2,8.1, #855, #873,Kim Dong Hee,Kim Dong Hee, Kim, 김동희, Kim Dong Hui, South Korean, Male," June 13, 1999", 21,https://i.mydramalist.com/eoOeKc.jpg
77,77,A-Teen 2,8.1, #855, #873,Lee Na Eun,Lee Na Eun, Lee, 이나은, Naeun, South Korean, Female," May  5, 1999", 21,https://i.mydramalist.com/jZ8xy_5c.jpg
78,78,About Love,7.4, #3141, Not Yet Rated,Kevin Woo,Kevin Woo, Woo, 케빈우, Kevin;케빈;우성현, American, Male," November 25, 1991", 29,https://i.mydramalist.com/pR1PV_5c.jpg
79,79,About Love,7.4, #3141, Not Yet Rated,ZN,ZN, Bae, 배진예, 진예;배진예;지엔, South Korean, Female," June  9, 1994", 26,https://i.mydramalist.com/lBZvNc.jpg
80,80,About Time,7.4, #3180, #285,Lee Sung Kyung,Lee Sung Kyung, Lee, 이성경, Lee Seong Gyeong;Lee Seong Kyeong;Bible Lee;Biblee, South Korean, Female," August 10, 1990", 30,https://i.mydramalist.com/R4RX6_5c.jpg
81,81,About Time,7.4, #3180, #285,Lee Sang Yoon,Lee Sang Yoon, Lee, 이상윤, Lee Sang Yun, South Korean, Male," August 15, 1981", 39,https://i.mydramalist.com/q8Zn8c.jpg
82,82,About Youth,6.4, Not Yet Rated, 151,Son Woo Hyun,Son Woo Hyun, Son, 손우현, Son Woo Hyeon;Son U Hyeon;Son Hyun Seok;Son Hyeon Seok;손현석, South Korean, Male," November 30, 1989", 31,https://i.mydramalist.com/E0j4Q_5c.jpg
83,83,About Youth,6.4, Not Yet Rated, 151,Kim Young Dae,Kim Young Dae, Kim, 김영대, Kim Yeong Dae;Gim Young Dae;Gim Yeong Dae;Kim Youngdae, South Korean, Male," March  2, 1996", 25,https://i.mydramalist.com/Xzrrg_5c.jpg
84,84,Abyss,7.8, #1567, #96,Ahn Hyo Seop,Ahn Hyo Seop, Ahn, 안효섭, Ahn Hyo Sub;Ahn Hyo Seob;Ahn Paul;Paul Ahn, Canadian, Male," April 17, 1995", 25,https://i.mydramalist.com/qw772c.jpg
85,85,Abyss,7.8, #1567, #96,Park Bo Young,Park Bo Young, Park, 박보영, Bak Bo Yeong;Park Bo Yeoung;Bak Bo Young, South Korean, Female," February 12, 1990", 31,https://i.mydramalist.com/vywkBc.jpg
86,86,Access 2014,7.9, Not Yet Rated, 479,Roy Kim,Roy Kim, Kim, 로이킴, 김상우;, South Korean, Male," July  3, 1993", 27,https://i.mydramalist.com/81bkDc.jpg
87,87,Access 2014,7.9, Not Yet Rated, 479,Yoon Chae Sung,Yoon Chae Sung, Yoon, 윤채성, Yoon Chae Seong; Yun Chae Sung; Yun Chae Seong;, South Korean, Male," June  2, 1988", 32,https://i.mydramalist.com/NRVdWc.jpg
88,88,Advertising Genius Lee Tae Baek,6.9, #4424, #1936,Park Ha Sun,Park Ha Sun, Park, 박하선, HaSeon;Park Ha Seon;朴河宣, South Korean, Female," October 22, 1987", 33,https://i.mydramalist.com/4YeqK_5c.jpg
89,89,Advertising Genius Lee Tae Baek,6.9, #4424, #1936,Jin Goo,Jin Goo, Jin, 진구, Jin Gu, South Korean, Male," July 20, 1980", 40,https://i.mydramalist.com/64JeXc.jpg
90,90,After School: Lucky or Not,7.6, #2583, #871,Kim So Eun,Kim So Eun, Kim, 김소은, Gim So Eun, South Korean, Female," September  6, 1989", 31,https://i.mydramalist.com/x71jy_5c.jpg
91,91,After School: Lucky or Not,7.6, #2583, #871,Seo Kang Joon,Seo Kang Joon, Lee, 서강준, South Korean, Male," October 12, 1993", 27,,https://i.mydramalist.com/rbPe2c.jpg
