,Unnamed: 0,pair,actor1,actor2,lineCount,score,actor1match,actor2match
80,80,"('HanHyoJoo', 'LeeJongSuk')",HanHyoJoo,LeeJongSuk,18,0.2017300724637681,nan,nan
81,81,"('KimDaMi', 'ParkSeoJoon')",KimDaMi,ParkSeoJoon,7,0.196078431372549,WonJinAh,ChoiTaeJoon
82,82,"('YooSeungHo', 'ChaeSooBin')",YooSeungHo,ChaeSooBin,6,0.1939583333333333,nan,nan
83,83,"('LeeDongWook', 'JoBoAh')",LeeDongWook,JoBoAh,8,0.1920454545454545,LeeJooHyung,nan
84,84,"('JiChangWook', 'ImYoonAh')",JiChangWook,ImYoonAh,5,0.1916666666666666,LeeSooHyuk,nan
85,85,"('ImSooJung', 'JangKiYong')",ImSooJung,JangKiYong,6,0.1867987305487304,KimBoMi,YoonHyunMin
86,86,"('BaeSuzy', 'LeeJongSuk')",BaeSuzy,LeeJongSuk,5,0.1854022988505747,nan,nan
87,87,"('ParkMinYoung', 'ParkSeoJoon')",ParkMinYoung,ParkSeoJoon,15,0.1853390242716085,"['ParkJooMi', 'Eugene']",ChoiTaeJoon
88,88,"('LeeShiYoung', 'LeeDongWook')",LeeShiYoung,LeeDongWook,7,0.170798611111111,SongYoonAh,LeeJooHyung
89,89,"('NamJooHyuk', 'ShinSeKyung')",NamJooHyuk,ShinSeKyung,8,0.1676510989010989,nan,"[[[[['BaeDaBin', 'YoonSoHee'], 'JeonSoMin'], 'LeeRuby'], 'BaeSuzy'], 'Yura']"
90,90,"('HwangInYeop', 'MoonGaYoung')",HwangInYeop,MoonGaYoung,6,0.1619047619047619,nan,nan
91,91,"('ParkShinHye', 'LeeMinHo')",ParkShinHye,LeeMinHo,15,0.1612735849056603,nan,KimShiHoo
92,92,"('SungJoon', 'Uee')",SungJoon,Uee,6,0.152536231884058,nan,"['SaHyunJin', 'HwangSunHee']"
93,93,"('LeeMinHo', 'JunJiHyun')",LeeMinHo,JunJiHyun,6,0.1518398268398268,KimShiHoo,nan
94,94,"('LeeMinHo', 'KimGoEun')",LeeMinHo,KimGoEun,12,0.1501157407407408,KimShiHoo,"[[[['JoHyeJoo', 'ChoiARa'], 'LeeSooJi'], 'KimSeulGi'], 'KimHyeJoon']"
95,95,"('KimMyungSoo', 'ShinYeEun')",KimMyungSoo,ShinYeEun,5,0.1177083333333333,JungYongHwa,YooInYoung
96,96,"('BaeSuzy', 'NamJooHyuk')",BaeSuzy,NamJooHyuk,22,0.1163023679417122,nan,nan
97,97,"('GoAhRa', 'ParkSeoJoon')",GoAhRa,ParkSeoJoon,6,0.1099999999999999,KangYeNa,ChoiTaeJoon
98,98,"('JoJungSuk', 'ParkBoYoung')",JoJungSuk,ParkBoYoung,8,0.1053571428571428,nan,NaHaeRyung
99,99,"('YooAhIn', 'KimHeeAe')",YooAhIn,KimHeeAe,5,0.0981481481481481,nan,nan
100,100,"('ShinHyeSun', 'LeeJongSuk')",ShinHyeSun,LeeJongSuk,5,0.0767460317460317,YooInNa,nan
101,101,"('KimGoEun', 'ParkHaeJin')",KimGoEun,ParkHaeJin,8,0.0249999999999999,"[[[['JoHyeJoo', 'ChoiARa'], 'LeeSooJi'], 'KimSeulGi'], 'KimHyeJoon']",One
102,102,"('JungHaeIn', 'HanJiMin')",JungHaeIn,HanJiMin,7,0.0145833333333333,ParkJiBin,nan
