Title,Ratings,Ranked,Popularity,Actor 1,URL 1,Actor 2,URL 2
Just Between Lovers,8.6, #119, #68,Lee Jun Ho,/people/5043-lee-jun-ho,Won Jin Ah,/people/15721-won-jin-ah
The King: Eternal Monarch,8.0, #935, #63,Lee Min Ho,/people/232-lee-min-ho,Kim Go Eun,/people/2599-kim-go-eun
Moon Embracing the Sun,8.4, #278, #72,Han Ga In,/people/561-han-ga-in,Kim Soo Hyun,/people/424-kim-soo-hyun
Sassy Go Go,8.2, #629, #75,Jung Eun Ji,/people/3843-jung-eun-ji,Lee Won Keun,/people/1987-lee-won-geun
He Is Psychometric,8.4, #332, #78,Park Jin Young,/people/2197-park-jin-young,Shin Ye Eun,/people/19700-shin-ye-eun
Queen In Hyun's Man,8.5, #220, #79,Ji Hyun Woo,/people/512-ji-hyun-woo,Yoo In Na,/people/633-yoo-in-na
Emergency Couple,8.0, #1135, #82,Song Ji Hyo,/people/273-song-ji-hyo,Choi Jin Hyuk,/people/1328-choi-jin-hyuk
Memories of the Alhambra,8.1, #790, #81,Hyun Bin,/people/183-hyun-bin,Park Shin Hye,/people/210-park-shin-hye
Introverted Boss,7.9, #1228, #83,Yeon Woo Jin,/people/1340-yeon-woo-jin,Park Hye Soo,/people/10439-park-hye-soo
"Marriage, Not Dating",8.2, #643, #87,Yeon Woo Jin,/people/1340-yeon-woo-jin,Han Groo,/people/1555-han-groo
Shopping King Louie,8.2, #571, #88,Seo In Guk,/people/2576-seo-in-guk,Nam Ji Hyun,/people/1434-nam-ji-hyun
Thirty But Seventeen,8.5, #201, #90,Shin Hye Sun,/people/7194-shin-hye-sun,Yang Se Jong,/people/13727-yang-se-jong
The Beauty Inside,8.4, #325, #91,Seo Hyun Jin,/people/941-seo-hyun-jin,Lee Min Ki,/people/656-lee-min-ki
True Beauty,8.4, #260, #92,Moon Ga Young,/people/5346-moon-ga-young,Cha Eun Woo,/people/10399-cha-eun-woo
The Innocent Man,8.1, #731, #86,Moon Chae Won,/people/1220-moon-chae-won,Song Joong Ki,/people/431-song-joong-ki
Faith,8.1, #779, #89,Kim Hee Sun,/people/978-kim-hee-sun,Lee Min Ho,/people/232-lee-min-ho
Shut Up: Flower Boy Band,8.1, #791, #98,Sung Joon,/people/1137-sung-joon,Jo Bo Ah,/people/2213-jo-bo-ah
Angel's Last Mission: Love,8.5, #252, #93,Kim Myung Soo,/people/1552-l,Shin Hye Sun,/people/7194-shin-hye-sun
Prison Playbook,9.1, #11, #95,Park Hae Soo,/people/2810-park-hae-soo,Jung Kyung Ho,/people/698-jung-kyung-ho
Another Miss Oh,8.3, #460, #94,Eric Mun,/people/1171-eric,Seo Hyun Jin,/people/941-seo-hyun-jin
Hospital Playlist,9.1, #2, #97,Jo Jung Suk,/people/1974-jo-jung-suk,Yoo Yeon Seok,/people/1908-yoo-yeon-seok
Abyss,7.8, #1567, #96,Park Bo Young,/people/1498-park-bo-young,Ahn Hyo Seop,/people/11001-ahn-hyo-sub
Sungkyunkwan Scandal,8.2, #591, #99,Park Yoo Chun,/people/429-park-yoo-chun,Park Min Young,/people/430-park-min-young
Flower Boy Ramen Shop,7.4, #3362, #102,Jung Il Woo,/people/474-jung-il-woo,Lee Chung Ah,/people/961-lee-chung-ah
Chicago Typewriter,8.8, #49, #101,Yoo Ah In,/people/432-yoo-ah-in,Im Soo Jung,/people/283-im-soo-jung
Blood,7.4, #3248, #100,Ahn Jae Hyun,/people/6555-ahn-jae-hyun,Gu Hye Seon,/people/231-gu-hye-seon
Eulachacha Waikiki,8.6, #105, #109,Kim Jung Hyun,/people/11840-kim-jung-hyun,Lee Yi Kyung,/people/4754-lee-yi-kyung
